index,no,keypoint
26,122,"Pasal ini menyatakan bahwa pelaksanaan investasi pemerintah daerah harus mengacu pada ketentuan peraturan perundang-undangan yang mengatur tentang surat berharga dan investasi langsung. Artinya, dalam melakukan investasi, pemerintah daerah harus mematuhi aturan-aturan yang berlaku terkait dengan investasi surat berharga dan investasi langsung sesuai dengan peraturan yang berlaku."
27,140,"Pasal ini menyatakan bahwa penjualan kepemilikan atas penyertaan modal harus dilakukan setelah dilakukan analisis kelayakan oleh penasihat investasi, terutama jika kegiatan perusahaan tidak menguntungkan atau tidak sesuai dengan strategi investasi pemerintah daerah."
28,141,"Pasal ini mengatur bahwa penjualan kepemilikan atas penyertaan modal dilakukan dengan cara penjualan hak kepemilikan kepada pihak lain, sementara penjualan kepemilikan atas pemberian pinjaman dilakukan dengan cara pemindahan piutang atau hak tagih kepada pihak lain."
29,142,"Pasal ini menyatakan bahwa hasil divestasi investasi pemerintah daerah adalah hasil bersih setelah dikurangi biaya pelaksanaan divestasi. Biaya pelaksanaan divestasi harus berdasarkan prinsip kewajaran, transparansi, dan akuntabilitas. Hasil divestasi merupakan penerimaan daerah."
30,149,"Pasal ini menjelaskan tugas masing-masing deputi bidang dan staf ahli dalam Menteri Muda Urusan Percepatan Pembangunan Kawasan Timur Indonesia, seperti perumusan kebijakan di bidang investasi, sumber daya pembangunan, pembiayaan pembangunan, serta memberikan telaahan tentang masalah ekonomi, keuangan, hukum, dan sosial budaya."
31,161,"Pasal ini menguraikan fungsi Sesmen, yang meliputi koordinasi penyusunan rencana program Kantor Meneg LH, pengelolaan dan laporan pelaksanaan tugas seluruh unsur di lingkungan Meneg LH, koordinasi kegiatan staf Meneg LH, penyelenggaraan pelayanan administrasi umum, pembinaan sumber daya manusia, koordinasi pelaksanaan hubungan kerjasama luar negeri, serta hubungan kerja di bidang administrasi dengan lembaga lain sesuai petunjuk Meneg"
32,166,"Pasal ini memberikan tugas Bagian Kepegawaian, yaitu melaksanakan pengelolaan administrasi kepegawaian dan pengembangan pegawai."
33,167,"Pasal ini menjelaskan fungsi Bagian Kepegawaian, yang meliputi pengelolaan tata usaha kepegawaian, administrasi pengangkatan, pemberhentian, dan pemensiunan, serta pengelolaan pengembangan pegawai."
34,171,"Bagian Administrasi memiliki fungsi pengelolaan administrasi umum, surat menyurat, kearsipan, administrasi perjalanan dinas, dan dokumentasi."
35,203,Deputi I bertugas melaksanakan perumusan kebijakan di bidang pengelolaan lingkungan hidup.
36,204,"Deputi I memiliki fungsi untuk merumuskan kebijakan pengelolaan lingkungan hidup di berbagai ekosistem daratan, perairan, serta atmosfer dan iklim. Selain itu, Deputi I juga bertanggung jawab dalam pelaksanaan koordinasi kebijakan internasional yang berkaitan dengan keanekaragaman hayati, penghapusan bahan perusak lapisan ozon, dan perubahan iklim."
37,205,"Deputi I memimpin dan mengawasi Asisten Deputi Urusan Ekosistem Daratan (Asisten Deputi 1/I), Asisten Deputi Urusan Ekosistem Pesisir dan Laut (Asisten Deputi 2/I), serta Asisten Deputi Urusan Atmosfer dan Iklim (Asisten Deputi 3/I)."
38,212,Subbidang Kawasan Hulu bertugas menyusun kebijakan dan evaluasi pengelolaan bagian hulu dari kawasan budidaya seperti daerah aliran sungai dan ekosistem danau. Sedangkan Subbidang Kawasan Hilir bertugas menyusun kebijakan dan evaluasi pengelolaan bagian hilir dari kawasan budidaya seperti penataan ruang dan kawasan industri.
39,216,Subbidang Keanekaragaman Hayati bertugas menyusun kebijakan dan evaluasi pengelolaan keanekaragaman hayati. Sedangkan Subbidang Kawasan Lindung bertugas menyusun kebijakan dan evaluasi pengelolaan kawasan lindung.
40,218,"Asisten Deputi 2/I bertugas menyusun telaahan staf, pengkajian, evaluasi, dan konsep perumusan kebijakan pengelolaan ekosistem pesisir dan laut."
41,219,Asisten Deputi 2/I memimpin Bidang Ekosistem Pesisir dan Bidang Ekosistem Laut.
42,225,"Bidang Ekosistem Laut memiliki fungsi untuk menyusun kebijakan dan evaluasi pengelolaan ekosistem terumbu karang, padang lamun, keanekaragaman hayati laut, dan perairan laut semi tertutup dan terbuka. Mereka juga bertugas dalam kerjasama dalam perairan laut internasional."
43,227,Subbidang Ekosistem Terumbu Karang bertugas menyusun kebijakan dan evaluasi pengelolaan ekosistem terumbu karang dan padang lamun. Sedangkan Subbidang Keanekaragaman Hayati Laut bertugas menyusun kebijakan dan evaluasi pengelolaan keanekaragaman hayati laut.
44,228,"Asisten Deputi 3/I bertugas menyusun telaahan staf, pengkajian, evaluasi, dan rancangan kebijakan pengelolaan lingkungan di bidang atmosfer dan iklim."
45,229,Asisten Deputi 3/I memiliki fungsi untuk merumuskan kebijakan dan sasaran pengelolaan lingkungan di bidang atmosfer dan iklim. Mereka juga bertugas dalam koordinasi pelaksanaan program pengelolaan atmosfer dan iklim serta melakukan evaluasi dan pelaporan terkait pengelolaan tersebut.
46,236,Bagian Pengkajian Kebijakan Lingkungan memiliki fungsi untuk melakukan analisis dan kajian ilmiah dalam rangka menyusun kebijakan dan sasaran pengelolaan lingkungan hidup.
47,253,"Pasal ini menjelaskan tugas masing-masing subbidang di Bidang Budaya. Subbidang Budaya Lingkungan bertugas menyusun bahan koordinasi, telaahan staf, pengkajian, dan evaluasi, serta penyusunan rancangan rumusan kebijakan di bidang budaya lingkungan. Subbidang Pranata Adat bertugas menyusun bahan koordinasi, telaahan staf, pengkajian, dan evaluasi, serta rancangan rumusan kebijakan di bidang pranata adat."
48,255,"Asisten Deputi 2/II (Deputi Urusan Ekonomi Lingkungan) memiliki tugas penyusunan telaahan staf, pengkajian, dan evaluasi, serta penyiapan rancangan rumusan kebijakan ekonomi lingkungan."
49,258,Bidang Neraca Lingkungan (dalam Asisten Deputi 2/II) bertugas merumuskan kebijakan tentang neraca lingkungan. Subbidang Perangkat Ekonomi Lingkungan (dalam Bidang Neraca Lingkungan) bertugas merumuskan kebijakan perangkat ekonomi lingkungan. Subbidang Evaluasi Sumber Daya Alam (dalam Bidang Neraca Lingkungan) bertugas merumuskan kebijakan evaluasi sumber daya alam.
50,260,Asisten Deputi 3/II (Deputi Urusan Perdagangan dan Lingkungan) membawahi Bidang Perdagangan dan Investasi Ramah Lingkungan serta Bidang Perdagangan Internasional dan Lingkungan
51,272,"Pasal ini menetapkan tugas Bidang Perdagangan Internasional dan Lingkungan, yang bertanggung jawab untuk melakukan koordinasi penyusunan telaahan staf, pengkajian, evaluasi, serta penyusunan rancangan rumusan kebijakan dalam bidang perdagangan internasional dan lingkungan"
52,275,"Pasal ini menjelaskan tugas dari dua subbidang di dalam Bidang Perdagangan Internasional dan Lingkungan. Subbidang Perdagangan Internasional 1 bertugas menyusun kebijakan di bidang organisasi perdagangan dunia, sedangkan Subbidang Perdagangan Internasional 2 bertugas menyusun kebijakan terkait pelaksanaan perjanjian lingkungan internasional."
53,277,"Pasal ini menetapkan tugas Deputi III, yaitu melakukan perumusan kebijakan di bidang hukum lingkungan."
54,305,Pasal ini mengatur tugas dari Bidang Pengkajian Hukum Lingkungan 3. Bidang ini bertugas untuk melakukan pengkajian dan evaluasi perjanjian hukum lingkungan global dan regional.
