Pasal,Isi Pasal
Pasal 59,"Ayat (1)
Perjanjian Kerja dalam ayat ini dicatatkan ke instansi
yang bertanggung jawab di bidang Ketenagakerjaan.
Ayat (2)
Yang dimaksud dengan opekerjaan yang bersifat tetap""
adalah pekerjaan yang sifatnya terus menerus, tidak
terputus-putus, tidak dibatasi waktu dan merupakan
bagian dari suatu proses produksi dalam satu
Perusahaan atau pekerjaan yang bukan musiman.
Pekerjaan yang bukan musiman adalah pekerjaan yang
tidak tergantung cuaca atau suatu kondisi tertentu.
Apabila pekerjaan itu merupakan pekerjaan yang terus
menerus, tidak terputus-putus, tidak dibatasi waktu,
dan merupakan bagian dari suatu proses produksi,
tetapi tergantung cuaca atau pekerjaan itu dibutuhkan
karena adanya suatu kondisi tertentu maka pekerjaan
tersebut merupakan pekerjaan musiman yang tidak
termasuk pekerjaan tetap sehingga dapat menjadi objek
perjanjian kerja waktu tertentu.
Ayat (3)
Cukup jelas.
Ayat (a)
Cukup jelas.
Angka16...
SK No 158489A
PRESIDEN
REPUBLIK INDONESIA
-274-
Angka 16"
Pasal 61A,"Cukup jelas.
SK No 097276 AAngka18...
PRESIOEN
I.IBLIK INOONESIA
-275-
Angka 18"
Pasal 63,"Cukup jelas.
Angka 8"
Pasal 76,"Cukup jelas.
Pasa777
Angka 1."
Pasal 82,"Ayat (l)
Hurufa
.Cukup jelas.
Huruf b
Cukup jelas.Paten sederhana diberikan untuk Invensi yang berupa
produk yang bukan sekadar berbeda ciri teknisnya,
tetapi harus memiliki fungsi/kegunaan yang lebih
praktis daripada Invensi sebelumnya yang disebabkan
bentuk, konligurasi, konstruksi, atau komponennya
yang mencakup alat, barang, mesin, komposisi,
formula, penggunaan, senyawa, atau sistem. Paten
sederhana juga diberikan untuk Invensi yang berupa
proses atau metode yang baru.
Huruf c . . .
SK No 096549 A
PRESIOEN
REPUBLIK INDONESIA
-302-
Huruf c
Keadaan ini biasanya terjadi dalam pelaksanaan
Paten yang merupakan hasil penyempurnaan atau
pengembangan Invensi yang lebih dahulu telah
dilindung Paten. Oleh karenanya pelaksanaan
Paten yang baru tersebut berarti melaksanakan
sebagian atau seluruh Invensi yang telah
dilindungi Paten yang dimiliki oleh pihak lain. Jika
Pemegang Paten terdahulu memberi Lisensi kepada
Pemegang Paten berikutnya, yang memungkinkan
terlaksananya Paten berikutnya tersebut, maka
dalam hal ini tidak ada masalah pelanggaran
Paten. Tetapi kalau Lisensi untuk itu tidak
diberikan, semestinya Undang-Undang ini
menyediakan jalan keluarnya. Ketentuan ini
dimalsudkan agar Paten yang diberikan
belakangan dapat dilaksanakan tanpa melanggar
Paten yang terdahulu melalui pemberian Lisensi-
wajib oleh Menteri.
Ayat (2)
Cukup jelas.
Angka 4
Pasal L22
Ayat (1)
Yang dimaksud dengan ""satu Invensi"" adalah Paten
sederhana hanya diajukan untuk satu klaim mandiri
produk atau satu klaim mandiri proses, tetapi dapat
terdiri atas beberapa klaim turunan.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Angka 5"
Pasal 82A,Cukup jelas.
"Pasal 20 ayat (3) huruf b,",dikenai sanksi administratif.
Pasal 82B,Cukup jelas.
Pasal 82C,"Cukup jelas.
Angka 33"
Pasal 82A dan Pasal 828 berupa:,"a. teguran tertulis;
b. paksaan pemerintah;
c. denda administratif;
d. pembekuan Perizinan Berrrsaha; dan latau
e. pencabutan Perizinan Berrrsaha
SK No 095934 A(2) Ketentuan. . .
PRES lDEN
REPUBLIK INDONESIA
-96-
(21 Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (1)
diatur dalam Peraturan Pemerintah.
33. Ketentuan Pasal 88 diubah sehingga berbunyi sebagai
berikut:"
Pasal 88,Cukup jelas.
Pasal 109,"Cukup jelas.
Angka 46"
Pasal 20 ayat (3) huruf b; atau,"!c. persetujuan dari Pemerintah Pusat
sebagaimana dimaksud dalam Pasal 6l ayat
(1),
SK No 095935 Ayang
PRESIOEN
REPUBLIK INDONESIA
-97 -
yang mengakibatkan timbulnya korban/kerusakanterhadap kesehatan, keselamatan, dan/atau
Lingkungan Hidup, dipidana dengan pidana penjara
paling singkat 1 (satu) tahun dan paling lama 3 (tiga)
tahun dan pidana denda paling sedikit
Rp1.0O0.00O.000,00 (satu miliar rupiah) dan paling
banyak Rp3.000.000.000,00 (tiga miliar rupiah).
37. Pasal 110 dihapus.
38. Ketentuan Pasal 111 diubah sehingga berbunyi sebagai
berikut:"
Pasal 1 1 1,"Pejabat pemberi Persetujuan Lingkungan yang
menerbitkan Persetujuan Lingkungan sebagaimana
dimaksud dalam Pasal 24 ayat (a) dan Pasal 34 ayat (3)
tanpa dilengkapi dengan Amdal atau UKL-UPL dipidana
dengan pidana penjara paling lama 3 (tiga) tahun dan
pidana denda paling banyak Rp3.000.000.000,00 (tiga
miliar rupiah).
39. Ketentuan Pasal 112 diubah sehingga berbunyi sebagai
berikut:"
Pasal 1 12,"Setiap pejabat berwenang yang dengan sengaja tidakmelakukan pengawasan terhadap ketaatan
penanggung jawab usaha dan/atau kegiatan terhadap
peraturan perundang-undangan dan Perizinan
Berusaha atau persetujuan Pemerintah Pusat atau
Pemerintah Daerah sebagaimana dimaksud dalam"
Pasal 72 yang mengakibatkan terjadinya Pencemaran,"Lingkungan Hidup dan/atau Kerusakan Lingkungan
Hidup yang mengakibatkan hilangnya nyawa manusia
dipidana dengan pidana penjara paling lama 1 (satu)tahun atau pidana denda paling banyak
Rp50O.000.000,00 (lima ratus juta rupiah).
Paragraf4...
SK No 095936A
PRES IDEN
REPUBLIK INOONESIA
-98-
Paragraf 4
Persetujuan Bangunan Gedung dan Sertifikat Laik Fungsi"
Pasal 12 dihapus.,"11. Pasal 14 dihapus.
12. Ketentuan Pasal 15 diubah sehingga berbunyi sebagai
berikut:"
Pasal 7 ayat (l ).,"(6) Dalam hal Bangunan Gedung direncanakan tidak
sesuai dengan standar teknis sebagaimana
dimaksud dalam Pasal 7 ayat (1), Bangunan
Gedung harus dilengkapi hasil pengujian untuk
mendapatkan persetujuan rencana teknis dari
Pemerintah Pusat.
(7) Hasil perencanaan harus dikonsultasikan dengan
Pemerintah Pusat atau Pemerintah Daerah sesuai
dengan kewenangannya berdasarkan norna,
standar, prosedur, dan kriteria yang ditetapkanoleh Pemerintah Pusat untuk mendapatkan
pernyataan pemenuhan standar teknis Bangunan
Gedung.
(8) Dalam hal perencanaan Bangunan Gedung yang
menggunakan prototipe yang ditetapkan
Pemerintah Pusat, perencanaan B€rngunan Gedung
tidak memerlukan kewajiban konsultasi dan tidak
memerlukan pemeriksaan pemenuhan standar.
33. Pasal 36 dihapus.
34. Di antara Pasal 36 dan Pasal 37 disisipkan 2 (dua) pasal,
yakni Pasal 36A dan Pasal 368 sehingga berbunyi
sebagai berikut:
SK No 096536 APasal 36A . . .
PRESIDEN
REPUBLIK INDONESIA
-106-"
Pasal 36A,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat(3)...
SK No 097254 A
PRESIDEN
REPUELIK INDONESIA
-61 -
Ayat (3)
Yang dimaksud dengan ""sistem elektronik yang
diselenggarakan oleh Pemerintah Pusat"" merupakan SistemInformasi Manajemen Bangunan Gedung yar,g
diperuntukkan bagi Bangunan Gedung bukan untuk
kegiatan usaha, dan pelayanan Perizinan Berusaha
terintegrasi secara elektronik yang diperuntukkan bagi
Bangunan Gedung untuk kegiatan usaha."
Pasal 36E},"(1) Pelaksanaan pembangunan Bangunan Gedung
dilakukan oleh Penyedia Jasa Konstruksi yang
memenuhi syarat dan standar kompetensi sesuai
dengan ketentuan peraturan perundang-
undangan.
(21 Penyedia jasa pengawasan atau manajemen
konstruksi melakukan kegiatan pengawasan dan
bertanggung jawab untuk melaporkan setiap
tahapan pekerjaan.
(3) Pemerintah Pusat atau Pemerintah Daerah sesuai
dengan kewenangannya berdasarkan norma,
standar, prosedur, dan kriteria yang ditetapkan
oleh Pemerintah Pusat melakukan inspeksi' pada
setiap tahapan sebagaimana dimaksud pada ayat
(2) sebagai pengawasan yang dapat menyatakan
lanjut atau tidaknya pekerjaan konstruksi ke tahap
berikutnya.
(41 Tahapan sebagaimana dimaksud pada ayat (3)
meliputi:
a. pekerjaan struktur bawah;
b. pekerjaan basemen jika ada;
c. pekerjaan . . .
SK No 096537 A
PRESIOEN
FIEPUBLIK INDONESIA
-to7-
c. pekerjaan struktur atas; dan
d. pengujian.
(5) Dalam melalsanakan inspeksi sebagaimana
dimaksud pada ayat (3) Pemerintah Pusat atau
Pemerintah Daerah sesuai dengan kewenangannya
menugaskan Penilik berdasarkan norma, standar,
prosedur, dan kriteria yang ditetapkan oleh
Pemerintah Pusat.
(6) Dalam hat pelaksanaan diperlukan adanya
perubahan dan/atau penyesuaian terhadap
rencana teknis, penyedia jasa perencana wajib
melaporkan kepada Pemerintah Pusat' atau
Pemerintah Daerah sesuai dengan kewenangannyauntuk mendapatkan persetujuan sebelum
pelaksanaan perubahan dapat dilanjutkan
berdasarkan norrna, standar, prosedur, dan
kriteria yang ditetapkan oleh Pemerintah Pusat.
35. Ketentuan Pasal 37 diubah sehingga berbunyi sebagai
berikut:"
Pasal 36El ayat (4) huruf d yang menyatakan,"Bangunan Gedung memenuhi standar teknis
Bangunan Gedung.
(4) Penerbitan sertifikat laik fungsi Bangunan Gedung
dilakukan bersamaan dengan penerbitan surat
bukti kepemilikan Bangunan Gedung.
(5) Pemeliharaan, Perawatan, dan Pemeriksaan
Berkala pada Bangunan Gedung harus dilakukanuntuk memastikan Bangunan Gedung tetap
memenuhi persyaratan laik fungsi.
(6) Dalam Pemanfaatan Bangunan Gedung, Pemilik
Bangunan Gedung, dan/ atau Pengguna BangunanGedung mempunyai hak dan kewajiban
sebagaimana diatur dalam Undang-Undang ini.
36. Di antara Pasa1 37 dan Pasal 38 disisipkan 1 (satu)
pasal, yakni Pasal 37A sehingga berbunyi sebagai
berikut:"
Pasal 37A,"Cukup jelas.
Angka 37"
Pasal 40,"Cukup jelas.
Angka 32"
Pasal 41,"Yang dimaksud dengan ujabatan direksi atau komisaris""
adalah jabatan direksi atau komisaris yang tercantum dalam
akta pendirian perusahaan atau perubahannya.
Ketentuan ini diperlukan dalam rangka meningkatkan daya
saing KEK.
Angka 33"
Pasal 44,"Dihapus.
SK No097189AAngka35.. .
PRESIDEN
REPUBLIK INDONES]A
-365-
Angka 35"
Pasal 45,"Dihapus.
Angka 36"
Pasal 44 dapat berupa:,"a. peringatantertulis;
b. pembatasan kegiatan pembangunan;
c. penghentian sementara atau tetap pada
pekerjaan pelaksanaan pembangunan;
d. penghentian sementara atau tetap pada
Pemanfaatan Bangunan Gedung;
e. pembekuan Persetujuan Bangunan Gedung;
f. pencabutan Persetqiuan Bangunan Gedung;
g. pembekuan sertilikat laik fungsi Bangunan
Gedung;
h. pencabutan sertiflkat laik fungsi Bangunan
Gedung; atau
i. perintahPembongkaran.
l2l Ketentuan lebih lanjut mengenai kriteria, jenis, dantata cara pengenaan sanksi administratif
sebagaimana dimaksud pada ayat (l) diatur dalam
Peraturan Pemerintah.
43. Ketentuan Pasal 46 diubah sehingga berbunyi sebagai
berikut:"
Pasal 46,Cukup jelas.
Pasal 47A,Cukup jelas.
Pasal 6A,"Cukup jelas.
Angka 5"
"Pasal 10, dan Pasal 12 diatur dalam Peraturan","Pemerintah.
Ketentuan Pasal 14 diubah sehingga berbunyi sebagai
berikut:5
6"
Pasal 14. . .,"SK No 137373 A
PRESIDEN
REPUBLIK INDONESIA
-10-"
Pasal 38,"Ayat (l)
Prosedur penggunaan Keputusan Berbentuk Elektronis
berpedoman pada ketentuan peraturan perundang-
undangan yang mengatur tentang informasi dan
transaksi elektronik.
Ayat (21
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (a)
Cukup jelas.
Angka 4
Cukup jelas.
Angka 5"
"Pasal 6, Pasal 18 ayat (21, Pasal 19, atau Pasal 2O","dikenai sanksi administratif berupa:
a. peringatantertulis;
b. penghentian . . .
SK No 095959 A
PRESlDEN
REPUELIK INDONESIA
-t2t-
b. penghentian sementara Praktik Arsitek;
c. pembekuan Surat Tanda Registrasi Arsitek;
dan/atau
d. pencabutan Surat Tanda Registrasi Arsitek.
(21 Sanksi sebagaimana dimalsud pada ayat (1)
diberikan oleh Organisasi Profesi Arsitek.
14. Pasal 39 dihapus.
15. Pasal 40 dihapus.
16. Pasal 41 dihapus.
Bagian Keempat
Penyederhanaan Perizinan Berusaha Sektor serta
Kemudahan dan Persyaratan Investasi
Paragraf 1
Umum"
Pasal 27,"Cukup jelas.
Angka 6"
Pasal 20A,"Cukup jelas.
Angka 4"
Pasal 25A,"Cukup jelas.
Angka 5"
Pasal 27A,"(1) Setiap Orang yang memiliki dan/atau
mengoperasikan kapal penangkap Ikan berbendera
Indonesia melakukan Penangkapan Ikan di wilayah
Pengelolaan Perikanan Negara Republik Indonesia
dan/ atau Laut Lepas, yang tidak memenuhi
Perizinan Berusaha sebagaimana dimaksud dalam"
"Pasal 27 ayat (1), dikenai sanksi administratif.","l2l Setiap Orang yang mengoperasikan kapal
penangkap Ikan berbendera Indonesia di wilayah
Pengelolaan Perikanan Negara Republik Indonesia,
yang tidak membawa dokumen Perizinan Berusaha
sebagaimana dimaksud dalam Pasal 27 ayat (31,
dikenai sanksi administratif.
SK No 095969 A(3) Setiap. . .
8PRESIDEN
REPUBLIK INDONESIA
-131 -
(3) Setiap Orang yang memiliki dan/ atau
mengoperasikan kapal penangkap Ikan berbenderaasing yang digunakan untuk melakukan
Penangkapan Ikan di ZEEI tanpa memenuhi
Perizinan Berusaha dari Pemerintah Pusat
sebagaimana dimaksud dalam Pasal 27 ayat (2)
atau tidak membawa dokumen Perizinan Berusaha
sebagaimana dimaksud dalam Pasal 27 ayat (31,
dikenai sanksi administratif.
(41 Ketentuan lebih lanjut mengenai kriteria, jenis, dantata, cara pengenaan sanksi administratif
sebagaimana dimaksud pada ayat (l), ayat (2), dan
ayat (3) diatur dalam Peraturan Pemerintah.
Ketentuan Pasal 28 diubah sehingga berbunyi sebagai
berikut:"
Pasal 28A,"Cukup jelas.
SK No 137437 AAngka10...
PRESIDEN
REPI.JELIK INDONESIA
-74 -
Angka 10"
Pasal 30,"Cukup jelas.
Angka 23"
Pasal 31,"Dihapus.
Ar:,gka24"
Pasal 33,"Cukup jelas.
Angka 4"
Pasal 35A,"Cukup jelas.
Angka 23"
Pasal 36,"Cukup jelas.Yang dimaksud dengan ""pelayanan kepabeanan
mandiri"" meliputi antara lain pelekatan dan/ atau
pelepasan tanda pengaman, pelayanan pemasukan
barang, pelayanan pembongkaran barang, pelayanan
penimbunan barang, pelayanan pemuatan barang,
pelayanan pengeluaran barang, dan/ atau pelayBnan
lainnya.
SK No 097188 AAng)<a29 . . .
PRES!DEN
IIEPUELIK INDONES]A
-364-
Angka 29"
Pasal 4O,"Ayat (1)
Cukup jelas.
Ayat l2l
Yang dimaksud dengan swasta termasuk usaha mikro,
kecil, dan menengah.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Angka 6"
Pasal 43...,"SK No 137201A
6FRESIDEN
REPUELIK INDONESIA
-581-"
Pasal 89,Cukup jelas.
Pasal 92,"Ayat (1)
Cukup jelas.
Ayat (21
Cukup jelas.
Ayat (3)
Yang dimaksud dengan ""insentif kepabeanan' antara lain
pemberian keringanan atau pembebasan bea masuk.
Ayat (4)
Pelaku Usaha Mikro perlu diberikan dukungan antara lain
melalui pemberian insentif Pajak Penghasilan agar dapat
meningkatkan kapasitas dan skala usahanya untuk berkembang.
Pemberian dukungan insentif Pajak Penghasilan tersebut juga
ditqiukan sebagai sarana pembelajaran bagi pelaku usaha mikro
agar dapat lebih memahami hak dan kewajiban perpajakan.
Insentif Pajak Penghasilan diberikan kepada pelaku Usaha Mikro
tertentu berdasarkan basis data tunggal UMK-M agar insentif
yang diberikan tepat sasaran."
Pasal 26 ayat (f) dipidana dengan pidana penjara paling,"lama 8 (delapan) tahun dan pidana denda paling banyak
Rpl.5O0.O00.000,00 (satu miliar lima ratus juta rupiah).
27. Ketentuan Pasal 93 diubah sehingga berbunyi sebagai
berikut:"
Pasal 93...,"SK No 137211A
PRESIDEN
REPUBLIK TNDONESIA
- 591 -"
Pasal 93,SK No 097282 ACukup jelas.
Pasal 27 ayat (21 yang menimbulkan kecelakaandan/atau menimbulkan korban / kerusakan,"terhadap kesehatan, keselamatan, dan/atau
lingkungan dipidana dengan pidana penjara paling
lama 6 (enam) tahun dan pidana denda paling
banyak Rp3O.0O0.000.000,00 (tiga puluh miliar
rupiah).
28. Ketentuan Pasal 94 diubah sehingga berbunyi sebagai
berikut:"
Pasal 94,Cukup jelas.
Pasal 94A...,"SK No 095981 A
PRESIDEN
REPIJELIK INDONESIA
-t43-"
Pasal 94A,"Cukup jelas.
SK No l37zl43 AAngka30...
PRESIDEN
REPUBLIK INDONES
-80-
Angka 30"
Pasal 97,Cukup jelas.
Pasal 98,Cukup jelas.
Pasal 42 ayat (3) dipidana dengan pidana pedara paling,"lama I (satu) tahun dan pidana denda paling banyak
Rp20O.00O.0O0,OO (dua ratus juta rupiah).
34. Ketentuan Pasal 10OB diubah sehingga berbunyi
sebagai berikut:"
Pasal 100Et,Dalam hal tindak pidana sebagaimana dimaksud dalam
"Pasal 8, Pasal 9, Pasal 12, Pasal 14 ayat (41, Pasal 16","ayat (l), Pasal 21, Pasal 23 ayat (l), atau Pasal 26 ayat
(1), yang dilakukan oleh Nelayan Kecil dan/ atau
Pembudi Daya-Ikan Kecil dipidana dengan pidana
penjara paling lama 1 (satu) tahun atau pidana denda
paling banyak Rp250.O00.000,00 (dua ratus lima puluh
juta rupiah).
35. Ketentuan Pasal 1O0C
sebagai berikut:diubah sehingga berbunyi
SK No 095983 APasal 1O0C. . .
PRESIDEN
REPUBLIK INDONESIA
- r45-"
Pasal 1O0C,Dalam hal tindak pidana sebagaimana dimaksud dalam
"Pasal 7 ayat (21huruf a, huruf b, huruf c, huruf d, huruf","f, hurufg, hurufh, hurufi, hurufj, hurufk, hurufl,
atau huruf m dilakukan oleh Nelayan Kecil dan/ atau
Pembudi Daya-Ikan Kecil dipidana dengan pidana
denda paling banyak Rp100.00O.0O0,O0 (seratus juta
rupiah).
36. Ketentuan Pasal lol diubah sehingga berbunyi sebagai
berikut:"
Pasal 101,Cukup jelas.
"Pasal 85, Pasal 86, Pasal 87, Pasal 88, Pasal 89, Pasal","90, Pasal 91, Pasal 92, Pasal 93, Pasal 94, atau Pasal
94A dilakukan oleh Korporasi, tuntutan dan sanksi
pidananya dijatuhkan terhadap pengurusnya dan
terhadap Korporasi dipidana denda dengan tambahan
pemberatan 1/3 (sepertiga) dari pidana denda yang
dijatuhkan.
Paragraf 3
Pertanian"
Pasal 29,"Cukup jelas.
SK No 158462AAngka6. . .
PRESIDEN
REPI.JBLIK INDONESIA
-24A-
Angka 6"
Pasal 47 ayat (1) diberikan oleh:,"a. gubernur untuk wilayah lintas
kabupaten/ kota; dan
b. bupati/wali kota untuk wilayah dalam suatu
kabupaten/kota,
berdasarkan norna, standar, prosedur, dan
kriteria yang ditetapkan oleh Pemerintah Pusat.
SK No095990A(2) Dalam . . .
PRESIDEN
REPUBLIK INDONESIA
-152-
(21 Dalam hal lahan Usaha Perkebunan berada, pada
wilayah lintas provinsi, Perizinan Berusaha
diberikan oleh Pemerintah Pusat.
(3) Perusahaan Perkebunan yang telah mendapat
Perizinan Berusaha wajib menyampaikan laporan
perkembangan usahanya secara berkala sekurang-
kurangnya 1 (satu) tahun sekali kepada pemberi
Perizinan Berusaha sebagaimana dimaksud pada
ayat (1) atau ayat (2).
(41 Laporan perkembangan usaha secara berkala
sebagaimana dimaksud pada ayat (3) juga
disampaikan kepada Pemerintah Pusat.
17. Pasal 49 dihapus.
18. Pasal 5O dihapus.
19. Ketentuan Pasal 58 diubah sehingga berbunyi sebagai
berikut:"
Pasal 58,"Cukup jelas.
Angka 15"
Pasal 6O,Angka 1
Pasal 67,"Ayat (1)
Perlindungan sebagaimana dimaksud dalam ayat ini
misalnya penyediaan aksesibilitas serta pemberian alat
kerja dan alat pelindung diri yang disesuaikan dengan
jenis dan derajat kedisabilitasan.
Ayat (21
Cukup jelas.
Angka 23
Pasal TT
Ayat (1)
Cukup jelas.
Ayat (21
Cukup jelas.
Ayat (3)
Bagi sektor usaha atau pekerjaan tertentu dapat
diberlakukan ketentuan waktu kerja yang kurang atau
lebih dari 7 (tujuh) jam 1 (satu) hari dan 40 (empat
puluh)jam 1 (satu) minggu atau 8 (delapan)jam 1 (satu)
hari dan 40 (empat puluh) jam I (satu) minggu.
Ayat (a)
Cukup jelas.
Ayat (5)
Cukup jelas.
Angka24"
Pasal 95,Cukup jelas.
Pasal 96,Cukup jelas.
Pasal 99,Cukup jelas.
Pasal 103,"Cukup jelas.
Angka 20"
Pasal 17 ayat (l) dipidana dengan pidana penjara paling,"lama 5 (lima) tahun atau pidana denda paling banyak
Rp5.000.0OO.0OO,0O (lima miliar rupiah).
32. Pasal 105 dihapus.
33. Pasal 106 dihapus.
34. Pasal 109 dihapus."
Pasal 3O,"Cukup jelas.
Angka 8"
Pasal 11,"Cukup jelas.
SK No097l90APasal 153. . .
PRES!DEN
BLIK INDONESIA
-366-"
Pasal 3l,"Cukup jelas.
Angka 12"
Pasal 86,Angka 1
Pasal 1O2,"(l) Sistem informasi Pertanian mencakuppengumpulan, pengolahan, penganalisisan,
penyimpanan, penyajian, dan penyebaran data
Sistem Budi Daya Pertanian Berkelanjutan.
(21 Pemerintah Pusat dan Pemerintah Daerah sesuai
dengan kewenangannya wajib membangun,
menJrusun, dan mengembangkan sistem informasi
Pertanian yang terintegrasi.
(3) Sistem informasi sebagaimana dimaksud pada ayat
(1) paling sedikit digunakan untuk keperluan:
a. perencanaan;
b. pemantauan dan evaluasi;
c. pengelolaan pasokan dan permintaan produk
Pertanian; dan
d. pertimbangan penanaman modal.
(41 Kewajiban Pemerintah Pusat dan PemerintahDaerah sesuai dengan kewenangannya
s6lagai1n4ls dimaksud pada ayat (2) dilaksanakan
oleh pusat data dan informasi.
(5) Pusat data dan informasi sebagaimana dimaksud
pada ayat (4) wajib melakukan pemutakhiran datadan informasi Sistem Budi Daya Pertanian
Berkelanjutan secara akurat dan dapat diakses
oleh masyarakat.
(6) Data dan informasi sebagaimana dimaksud pada
ayat (5) dapat diakses dengan mudah dan cepat
oleh Pelaku Usaha dan masyarakat.
(71 Ketentuan lebih lanjut mengenai sistem informasi
Pertanian sebagaimana dimaksud pada ayat (1),
ayat (2), ayat (3), ayat (4), dan ayat (5) diatur dalam
Peraturan Pemerintah.
Ketentuan Pasal 108 diubah sehingga berbunyi sebagai
berikut:
SK No 097889 APasal 1O8 . . .
PRESIDEN
REPUBLIK INDONESIA
- 166-"
Pasal 1O8,Angka 1
Pasal 35...,"SK No 097892 A
4PPES IOEN
REPUBLIK INDONESIA
_t69_"
Pasal 5l dihapus.,"Ketentuan Pasal 52 diubah sehingga berbunyi sebagai
berikut:"
Pasal 52,"Cukup jelas.PRESIDEN
REPUBLIK INDONESIA
-259-
Yang dimaksud dengan ""migrasi Penyiaran Televisi
terestrial dari teknologi analog ke teknologi digital""
adalah proses yang dimulai dengan penerapan sistem
Penyiaran berteknologi digital untuk Penyiaran Televisiyang diselenggarakan melalui media transmisi
terestrial dan dilakukan secara bertahap, serta diakhiri
dengan penghentian penggunaan teknologi analog
dalam lingkup nasional.
Cukup jelas.
Angka5...
SK No 158474A
PRESIDEN
BLIK TNDONESIA
-260-
Angka 5"
Pasal 50 wajib memenuhi Per2inan Berusaha dari,"Pemerintah Pusat.
(21 Ketentuan lebih lanjut mengenai Perizinan
Berusaha sebagaimana dimaksud pada ayat (l)
diatur dalam Peraturan Pemerintah.
Ketentuan Pasal 54 diubah sehingga berbunyi sebagai
berikut:7
8
9
SK No 097894 APasal 54. . .
PRES ID EN
REPUBLIK lNDONESIA
-t7t-"
Pasal 54,"Ayat (1)
Hurufa
Yang dimaksud dengan ""rohaniwan""
pemuka agama yang diakui di Indonesia.
Huruf b
Yang dimaksud dengan ""keluarga'
suami/ istri dan anak.
Huruf c
Cukup jelas.
Huruf d
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Angka 7"
Pasal 56,"Cukup jelas.
Angka13...
SK No 158488A
PRESIDEN
REPUELIK INDONESIA
-273-
Angka 13"
Pasal 57,"Cukup jelas.
Angka 5"
Pasal 68,"Cukup jelas.
Angka 1O"
Pasal 90,"Dihapus.
Angka 31"
Pasal 1O0,Cukup jelas.
Pasal 122,Cukup jelas.
"Pasal 38, Pasal 54 ayat (l) atau ayat (2), Pasal 60","ayat (2), Pasal 71, Pasal 73 ayat (21, Pasal 81 ayat
(4), Pasal 84 ayat (1), Pasal 88 ayat (1), Pasal 92
ayal (21, Pasal 101, Pasal 108 ayat (21, atau Pasal
109 ayat (2) dikenai sanksi administratif.
(21 Sanksi administratif sebagaimana dimaksud pada
ayat (1) berupa:
a. peringatan secara tertulis;
b. dendaadministratif;
c. penghentian sementara kegiatan;
d. penarikan produk dari peredaran oleh Pelaku
Usaha;
e. pencabutan izin; dan/atau
f. penutupan usaha.
(3) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengeneen sanksi
administratif sebagaimana dimaksud pada ayat (21
diatur dalam Peraturan Pemerintah.
21. Pasal 126 . . .
SK No 097899 A
PR ES ID EN
REPUBLIK INDONESIA
-t76-
21. Pasal 126 dihapus.
22. Ketentatan Pasal 128 diubah sehingga berbunyi sebagai
berikut:"
Pasal 128,Cukup jelas.
Pasal 368,"Cukup jelas.
Angka 9"
Pasal 36C,"Cukup jelas.
Angka 10"
Pasal 72(1) Tenaga Kesehatan Hewan yang melakukan,"pelayanan Kesehatan Hewan wajib memenuhi
Perizinan Berusaha dari Pemerintah Pusat.
(21 Tenaga asing Kesehatan Hewan dapat melakukan
praktik pelayanan Kesehatan Hewan di wilayah
Negara Kesatuan Republik Indonesia berdasarkan
perjanjian bilateral atau multilateral antara pihak
Indonesia dan negara atau lembaga asing sesuaidengan ketentuan peraturan perundang-
undangan.(3) Ketentuan lebih lanjut mengenai Peizrnan
Berusaha sebagaimana dimaksud pada ayat (1)
diatur dalam Peraturan Pemerintah.
18. Ketentuan Pasal 85 diubah sehingga berbunyi sebagai
berikut:"
Pasal 85(1) Setiap Orang yang melanggar ketentuan,"sebagaimana dimalsud dalam Pasal 9 ayat (1),"
"Pasal 11 ayat (1), Pasal 13 ayat (4), Pasal 15 ayat","(2), Pasal 18 ayat (4), Pasal 19 ayat (1), Pasal 22
ayat (1) atau ayat (2), Pasal 23, Pasal 24 ayat (31,"
"Pasal 25 ayat (1), Pasal 29 ayat (3), Pasal 368 ayat","(2), Pasal 36C ayat (4), Pasal 42 ayat (5), Pasal 43
ayat (4), Pasal 45 ayat (1), Pasal 47 ayat (2) atau
ayat (3), Pasal 50 ayat (1), Pasal 50 ayat (3), Pasal
51 ayat (2), Pasal 52 ayat (l), Pasal 53 ayat (21,"
"Pasal 55 ayat (3), Pasal 58 ayat (5), Pasal 59 ayat","(1), Pasal 6O ayat (1), Pasal 6L ayat (1) atau ayat (21,"
